NME_REGION_GR,NME_TIPOLOGIA_PD,produccion_region_tipologia,produccion_total,produccion_tipologia_nacional,participacion_tipologia_region,participacion_tipologia_nacional,indice_especializacion
Pacífico,Artículos,8200,136445,70161,0.06009747517314669,0.056233033550990116,1.0687
Pacífico,Generación de contenido virtual,323,136445,2836,0.002367254204991022,0.0022730132573738683,1.0415
Pacífico,Procesos de Apropiación social del conocimiento para el fortalecimiento de cadenas productivas,12,136445,107,8.79475246436293e-05,8.575896281347106e-05,1.0255
Pacífico,Tesis de pregrado,21738,136445,194293,0.1593169408919345,0.15572304824222177,1.0231
Pacífico,Regulación y norma proyecto de ley,17,136445,152,0.00012459232657847485,0.00012182581633315513,1.0227
Pacífico,Informe Final de Investigación,4357,136445,39173,0.0319322804060244,0.031396596731701885,1.0171
Pacífico,Consultoría científico-técnica,2233,136445,20278,0.01636556854410202,0.01625252568160342,1.007
Pacífico,Artículos de investigación,29889,136445,278565,0.21905529700611967,0.22326584557135107,0.9811
Pacífico,Prototipo Industrial,892,136445,8316,0.0065374326651764444,0.00666515453043762,0.9808
Pacífico,Capítulos de libro de investigación,4608,136445,42965,0.033771849463153654,0.034435830254960595,0.9807
Pacífico,Informe técnico final,678,136445,6473,0.004969035142365056,0.005188016507398113,0.9578
Pacífico,Regulación y norma,278,136445,2702,0.0020374509875774123,0.002165614182448587,0.9408
Pacífico,Tesis de maestria,9415,136445,93874,0.06900216204331415,0.07523866238459609,0.9171
Pacífico,Producciones de contenido digital,424,136445,4512,0.003107479204074902,0.0036163031795736576,0.8593
Pacífico,Libros,941,136445,10264,0.006896551724137931,0.008226448545023055,0.8383
Pacífico,Talleres de creación,78,136445,858,0.0005716589101835905,0.00068767467377531,0.8313
Pacífico,Proyecto de extensión,874,136445,9742,0.006405511378211001,0.0078080730441947195,0.8204
Pacífico,Notas científica,47,136445,526,0.0003444611381875481,0.00042158144336341844,0.8171
Pacífico,Documento de trabajo,1936,136445,22028,0.014188867309172194,0.017655125540702244,0.8037
Pacífico,Publicaciones editoriales no especializadas,57,136445,660,0.00041775074205723916,0.0005289805182886999,0.7897
Pacífico,Planta Piloto,24,136445,282,0.0001758950492872586,0.0002260189487233536,0.7782
Pacífico,Capítulos de libro,586,136445,6890,0.004294770786763898,0.005522236016680519,0.7777
Pacífico,Eventos artísticos,112,136445,1340,0.0008208435633405402,0.001073990749252815,0.7643
Pacífico,Patente modelo de utilidad,24,136445,297,0.0001758950492872586,0.00023804123322991496,0.7389
Pacífico,"Obras o productos de arte, arquitectura y diseño",677,136445,9054,0.004961706181978086,0.007256650928160438,0.6837
Pacífico,Estrategias pedagógicas para el fomento a la CTI,487,136445,6692,0.0035692037084539556,0.005363541861193909,0.6655
Pacífico,Manuales y Guías Especializadas,11,136445,156,8.061856425666019e-05,0.00012503175886823816,0.6448
Pacífico,Procesos de apropiación social del conocimiento para el fortalecimiento o solución de asuntos,215,136445,3118,0.0015757264831983582,0.0024990322060972217,0.6305
Pacífico,Software,434,136445,6370,0.0031807688079445932,0.005105463487119725,0.623
Pacífico,Desarrollos Web,38,136445,593,0.00027850049470482614,0.00047528098082605917,0.586
Pacífico,Proyecto ID+I con Formación,129,136445,2142,0.000945435889919015,0.0017167822275369626,0.5507
